"","Vaccine","Variant","Study","NATR_vac","NATR_vac_istatus","endpoint","VE","lower","upper","fold_red","NATR_tot","code","I_v","I_c","N_v","N_c","VE_m","VE_up","VE_low","VE_up_SE","VE_low_SE","b_s","NATR_tot_jit","data","mean"
"76",NA,NA,NA,NA,NA,"Death",NA,0.946911749882037,0.957446329631415,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"77",NA,NA,NA,NA,NA,"Death",NA,0.953032441450611,0.963213252643806,NA,0.707106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"78",NA,NA,NA,NA,NA,"Death",NA,0.958470035990568,0.968282309490636,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"79",NA,NA,NA,NA,NA,"Death",NA,0.96322232198516,0.972720268428666,NA,1.4142135623731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"80",NA,NA,NA,NA,NA,"Death",NA,0.967456919234829,0.976556714163548,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"81",NA,NA,NA,NA,NA,"Death",NA,0.971166326110255,0.979882069729204,NA,2.82842712474619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"82",NA,NA,NA,NA,NA,"Death",NA,0.974501599200214,0.982758662911174,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"83",NA,NA,NA,NA,NA,"Death",NA,0.977404439264795,0.985257431678889,NA,5.65685424949238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"84",NA,NA,NA,NA,NA,"Death",NA,0.979979694720959,0.987384935214656,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"85",NA,NA,NA,NA,NA,"Transmission",NA,0.510419881976376,0.576737164385403,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"86",NA,NA,NA,NA,NA,"Transmission",NA,0.575448058667791,0.632840947641191,NA,0.176776695296637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"87",NA,NA,NA,NA,NA,"Transmission",NA,0.639985180474089,0.687388715127472,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"88",NA,NA,NA,NA,NA,"Transmission",NA,0.7016167891996,0.739112057896036,NA,0.353553390593274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"89",NA,NA,NA,NA,NA,"Transmission",NA,0.758537967949046,0.78724186180024,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"90",NA,NA,NA,NA,NA,"Transmission",NA,0.80871172419328,0.830970383631076,NA,0.707106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"91",NA,NA,NA,NA,NA,"Transmission",NA,0.851187536252746,0.869784780906346,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"92",NA,NA,NA,NA,NA,"Transmission",NA,0.885788436266617,0.903049593074127,NA,1.4142135623731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"93",NA,NA,NA,NA,NA,"Transmission",NA,0.91342753594487,0.930153139935472,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"94",NA,NA,NA,NA,NA,"Transmission",NA,0.93535540024472,0.951265355684929,NA,2.82842712474619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"95",NA,NA,NA,NA,NA,"Transmission",NA,0.952437693603919,0.96689235775672,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"96",NA,NA,NA,NA,NA,"Transmission",NA,0.965471457406919,0.978008299851123,NA,5.65685424949238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"97",NA,NA,NA,NA,NA,"Transmission",NA,0.975181302415172,0.98567676977298,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI",NA
"98",NA,NA,NA,NA,NA,"Susceptibility",NA,0.265486725663717,0.609375,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.458678055155626
"99",NA,NA,NA,NA,NA,"Susceptibility",NA,0.333333333333333,0.651162790697674,NA,0.176776695296637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.509880890389738
"100",NA,NA,NA,NA,NA,"Susceptibility",NA,0.4,0.694029850746269,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.560966815437827
"101",NA,NA,NA,NA,NA,"Susceptibility",NA,0.457136699507389,0.732758620689655,NA,0.353553390593274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.610724058231165
"102",NA,NA,NA,NA,NA,"Susceptibility",NA,0.518518518518519,0.767605633802817,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.658372731412454
"103",NA,NA,NA,NA,NA,"Susceptibility",NA,0.571428571428571,0.80672268907563,NA,0.707106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.703018074364009
"104",NA,NA,NA,NA,NA,"Susceptibility",NA,0.629299235691433,0.837606837606838,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.744098952883727
"105",NA,NA,NA,NA,NA,"Susceptibility",NA,0.673469387755102,0.8671875,NA,1.4142135623731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.781247422425946
"106",NA,NA,NA,NA,NA,"Susceptibility",NA,0.714285714285714,0.893805309734513,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.814296975106767
"107",NA,NA,NA,NA,NA,"Susceptibility",NA,0.75531914893617,0.913461538461538,NA,2.82842712474619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.843419504373133
"108",NA,NA,NA,NA,NA,"Susceptibility",NA,0.788453389830508,0.933333333333333,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.868743765477768
"109",NA,NA,NA,NA,NA,"Susceptibility",NA,0.817305107526882,0.947377020983832,NA,5.65685424949238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.890465322689197
"110",NA,NA,NA,NA,NA,"Susceptibility",NA,0.841664603960396,0.9609375,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.908975213914539
"111",NA,NA,NA,NA,NA,"Infectiousness",NA,-0.104774436090226,0.36434272763106,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.155673696538552
"112",NA,NA,NA,NA,NA,"Infectiousness",NA,-0.0645336605890602,0.390070921985816,NA,0.176776695296637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.191655706136377
"113",NA,NA,NA,NA,NA,"Infectiousness",NA,-0.0112391470888662,0.425004921259842,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.233831562432801
"114",NA,NA,NA,NA,NA,"Infectiousness",NA,0.045045045045045,0.464285714285714,NA,0.353553390593274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.282118892662538
"115",NA,NA,NA,NA,NA,"Infectiousness",NA,0.115384615384615,0.511811023622047,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.335996695515304
"116",NA,NA,NA,NA,NA,"Infectiousness",NA,0.187485397196262,0.557384930643127,NA,0.707106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.394268061306308
"117",NA,NA,NA,NA,NA,"Infectiousness",NA,0.26,0.605042016806723,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.455919431262728
"118",NA,NA,NA,NA,NA,"Infectiousness",NA,0.34375,0.658333333333333,NA,1.4142135623731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.518889970516127
"119",NA,NA,NA,NA,NA,"Infectiousness",NA,0.411764705882353,0.712121212121212,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.581080934064202
"120",NA,NA,NA,NA,NA,"Infectiousness",NA,0.485974632843792,0.760330578512397,NA,2.82842712474619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.64081403127338
"121",NA,NA,NA,NA,NA,"Infectiousness",NA,0.556603773584906,0.807692307692308,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.696411354490497
"122",NA,NA,NA,NA,NA,"Infectiousness",NA,0.619469026548673,0.848,NA,5.65685424949238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.746928634159782
"123",NA,NA,NA,NA,NA,"Infectiousness",NA,0.673072429906542,0.883726121262458,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.79153953735671
"124",NA,NA,NA,NA,NA,"Death",NA,0.855998305084746,0.967479674796748,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.919420614577611
"125",NA,NA,NA,NA,NA,"Death",NA,0.871287128712871,0.974137931034483,NA,0.176776695296637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.929297264177083
"126",NA,NA,NA,NA,NA,"Death",NA,0.883928571428571,0.980769230769231,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.937998873234391
"127",NA,NA,NA,NA,NA,"Death",NA,0.893203883495146,0.983739837398374,NA,0.353553390593274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.945717945026325
"128",NA,NA,NA,NA,NA,"Death",NA,0.904761904761905,0.989690721649485,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.952518537565186
"129",NA,NA,NA,NA,NA,"Death",NA,0.914285714285714,0.991525423728814,NA,0.707106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.958528681580129
"130",NA,NA,NA,NA,NA,"Death",NA,0.922330097087379,0.992,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.963797153645696
"131",NA,NA,NA,NA,NA,"Death",NA,0.928571428571429,1,NA,1.4142135623731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.968429890548691
"132",NA,NA,NA,NA,NA,"Death",NA,0.936504329004329,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.972469700155057
"133",NA,NA,NA,NA,NA,"Death",NA,0.941747572815534,1,NA,2.82842712474619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.976007771945421
"134",NA,NA,NA,NA,NA,"Death",NA,0.947368421052632,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.979103956220812
"135",NA,NA,NA,NA,NA,"Death",NA,0.951923076923077,1,NA,5.65685424949238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.981798656735428
"136",NA,NA,NA,NA,NA,"Death",NA,0.956896551724138,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.984160519687626
"137",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.542835677069854
"138",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,0.176776695296637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.603713609054269
"139",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.663444434635947
"140",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,0.353553390593274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.720436628933184
"141",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.773048296417622
"142",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,0.707106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.820006127483985
"143",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.860693511636405
"144",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,1.4142135623731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.894777634571025
"145",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.922279638547092
"146",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,2.82842712474619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.943859771239707
"147",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.960234893859988
"148",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,5.65685424949238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.972353979296195
"149",NA,NA,NA,NA,NA,"Transmission",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean",0.981080877355424
