"","Vaccine","Variant","Study","NATR_vac","NATR_vac_istatus","endpoint","VE","lower","upper","fold_red","NATR_tot","code","I_v","I_c","N_v","N_c","VE_m","VE_up","VE_low","VE_up_SE","VE_low_SE","b_s","NATR_tot_jit","data","mean"
"22","Pfizer","Alpha","Hall",2.372340426,1,"Susceptibility",0.86,0.76,0.97,1.48879931632068,1.59345883625393,"BNT162b2",11.0803158362334,79.1451131159525,1e+08,1e+08,0.852664684396653,0.925198193833623,0.736850600986997,0.898354135011964,0.807052689903497,7.91451131159525e-07,1.62919142078249,"data",NA
"23","Pfizer","Alpha","Braeye",2.372340426,1,"Susceptibility",0.74,0.72,0.76,1.48879931632068,1.59345883625393,"BNT162b2",260,1000,1e+08,1e+08,0.739821451002773,0.759283491088521,0.719202146173203,0.749960023603205,0.729670210321928,1e-05,1.60579164503377,"data",NA
"24","Pfizer","Alpha","Harris",2.372340426,1,"Infectiousness",0.46,0.38,0.53,1.48879931632068,1.59345883625393,"BNT162b2",308.744457383924,571.748995155414,1e+08,1e+08,0.458645133293873,0.528993134962477,0.380188143785342,0.496490861683679,0.420827464406426,5.71748995155414e-06,1.57117806959745,"data",NA
"25","Pfizer","Alpha","Prunas",2.372340426,0.1241186,"Susceptibility",0.583,0.458,0.679,1.48879931632068,0.197777879913467,"BNT162b2",78.8596890981076,189.111964264047,1e+08,1e+08,0.579097817165233,0.679441864302663,0.456236905920319,0.635392708881817,0.523495691644264,1.89111964264047e-06,0.182977894273237,"data",NA
"26","Pfizer","Alpha","Prunas",2.372340426,1,"Susceptibility",0.894,0.887,0.9,1.48879931632068,1.59345883625393,"BNT162b2",106,1000,1e+08,1e+08,0.893961937113073,0.900270931826137,0.887436470322953,0.897223151449676,0.890663414496857,1e-05,1.59148442900451,"data",NA
"27","Pfizer","Alpha","Braeye",2.372340426,1,"Infectiousness",0.61,0.56,0.67,1.48879931632068,1.59345883625393,"BNT162b2",278.709120779892,714.638771230492,1e+08,1e+08,0.609100414473592,0.660609606332915,0.551896947354565,0.636597522851741,0.581818994052307,7.14638771230492e-06,1.59654725308913,"data",NA
"28","Pfizer","Alpha","Pouwels (alpha)",2.372340426,1,"Susceptibility",0.78,0.68,0.84,1.48879931632068,1.59345883625393,"BNT162b2",35.8831505834206,163.105229924639,1e+08,1e+08,0.775955068103125,0.846426735700323,0.684566251993534,0.81660510406326,0.735274833105922,1.63105229924639e-06,1.60218809092876,"data",NA
"29","Pfizer","Alpha","Andrews",2.3723404,0.1241186,"Death",0.966,0.944,0.965,1.48879931632068,0.197777877745893,"BNT162b2",26.2500300612465,772.059707683721,1e+08,1e+08,0.965345903212075,0.976981077275485,0.949788978161931,0.97208190811843,0.95860715748962,7.72059707683721e-06,0.195425656026027,"data",NA
"30","Pfizer","Alpha","Eyre",2.372340426,1,"Infectiousness",0.68,0.52,0.79,1.48879931632068,1.59345883625393,"BNT162b2",30.1194211912202,94.123191222563,1e+08,1e+08,0.672028393467542,0.786808881331553,0.515620923146247,0.739534582779923,0.604645454650563,9.4123191222563e-07,1.5864399564357,"data",NA
"31","Pfizer","Alpha","Glatman-Freedman",2.3723404,1,"Death",0.986,0.97,0.993,1.48879931632068,1.59345881879019,"BNT162b2",6.72055127397496,480.039376712496,1e+08,1e+08,0.984827393643209,0.993432176258712,0.969922450649574,0.990454198886528,0.979282534633258,4.80039376712496e-06,1.58024400133447,"data",NA
"32","Pfizer","Alpha","Prunas",2.372340426,1,"Infectiousness",0.23,-0.1,0.467,1.48879931632068,1.59345883625393,"BNT162b2",50.283157797094,65.3028023338883,1e+08,1e+08,0.215759105909357,0.46791327399561,-0.115221359465041,0.36211797645707,0.071142894636872,6.53028023338883e-07,1.56602414729177,"data",NA
"33","Pfizer","D614G","Pritchard",2.372340426,1,"Susceptibility",0.8,0.73,0.85,1,2.372340426,"BNT162b2",52.2045776761015,261.022888380508,1e+08,1e+08,0.797827950564962,0.851064801522728,0.730525408506602,0.82813581911759,0.767626477923956,2.61022888380508e-06,2.4129473221045,"data",NA
"34","Pfizer","Delta","Andrews",2.3723404,1,"Death",0.982,0.959,0.992,2.19999482051163,1.07833908420216,"BNT162b2",5.78443208748383,321.357338193546,1e+08,1e+08,0.980361912430445,0.992084238467814,0.959343130824857,0.988156774752585,0.972730830215897,3.21357338193546e-06,1.05649961919518,"data",NA
"35","Pfizer","Alpha","Martinez-Baz",2.372340426,1,"Susceptibility",0.65,0.56,0.73,1.48879931632068,1.59345883625393,"BNT162b2",90.9977014467123,259.993432704892,1e+08,1e+08,0.64732828418592,0.724287643839165,0.556125056469495,0.690008994543357,0.604818514112314,2.59993432704892e-06,1.6413730020719,"data",NA
"36","Pfizer","Alpha","Goldberg",2.3723404,1,"Death",0.96,0.949,0.969,1.48879931632068,1.59345881879019,"BNT162b2",40,1000,1e+08,1e+08,0.959663071999352,0.96871331724627,0.948847751197732,0.964678596818487,0.954643695989691,1e-05,1.59195035468518,"data",NA
"37","Pfizer","Delta","Andrews",2.3723404,1,"Death",0.956,0.944,0.966,2.19999482051163,1.07833908420216,"BNT162b2",44,1000,1e+08,1e+08,0.955601685000473,0.965645972042685,0.943440932998071,0.961145631136124,0.950078572761928,1e-05,1.07067380146949,"data",NA
"38","Pfizer","BA.2","Yan",2.3723404,7.629827,"Death",0.974,0.93,0.99,15.1347461129248,1.19595972750764,"BNT162b2",4.02558477482377,154.830183647068,1e+08,1e+08,0.970485176172886,0.990288694271148,0.930331679044232,0.984300115880657,0.95698559226185,1.54830183647068e-06,1.17462929961814,"data",NA
"39","Pfizer","Alpha","Haas",2.3723404,1,"Death",0.967,0.96,0.973,1.48879931632068,1.59345881879019,"BNT162b2",33,1000,1e+08,1e+08,0.966825597911594,0.972850114159976,0.95986273796046,0.970077793998743,0.963578031934422,1e-05,1.59063666764994,"data",NA
"40","Pfizer","Delta","Prunas",2.372340426,1,"Susceptibility",0.72,0.659,0.77,2.19999482051163,1.07833909602037,"BNT162b2",125.232271619186,447.258112925666,1e+08,1e+08,0.718836298828717,0.770854376060774,0.659653675971498,0.746825540836061,0.690831642706695,4.47258112925666e-06,1.11277839981303,"data",NA
"41","Pfizer","Delta","Pouwels (delta)",2.372340426,1,"Susceptibility",0.8,0.77,0.83,2.19999482051163,1.07833909602037,"BNT162b2",200,1000,1e+08,1e+08,0.799412669505256,0.828043258734691,0.767355385276965,0.814764775651909,0.784057809184481,1e-05,1.09664902629739,"data",NA
"42","Pfizer","Delta","Andrews",2.3723404,0.1241186,"Death",0.904,0.851,0.938,2.19999482051163,0.133841937456454,"BNT162b2",21.7621056865232,226.688600901284,1e+08,1e+08,0.901368334534571,0.938092275300524,0.850525582657971,0.923180442531342,0.879407065286737,2.26688600901284e-06,0.161176917969286,"data",NA
"43","Pfizer","Delta","Eyre",2.372340426,1,"Infectiousness",0.5,0.35,0.61,2.19999482051163,1.07833909602037,"BNT162b2",85.8022462300026,171.604492460005,1e+08,1e+08,0.496164943444711,0.614231950972894,0.352353360888321,0.562154322619842,0.430783915805274,1.71604492460005e-06,1.05442053194625,"data",NA
"44","Pfizer","Delta","Sukik",2.3723404,7.629827,"Death",1,-0.1,1,2.19999482051163,8.22754065980089,"BNT162b2",0,5.23397059484322,1e+08,1e+08,0.739693160403452,0.995126011370412,-0.581464609058396,0.97978086670108,0.85,5.23397059484322e-08,8.22373829085096,"data",NA
