"","endpoint","c0","c1","sigma11","sigma12","sigma21","sigma22"
"1","Susceptibility",-1.06668855380299,-0.411314871468158,0.00087610515308945,0.000190504153729633,0.000190504153729633,0.000453669551824505
"2","Infectiousness",0.178335617882039,-0.504676085733679,0.00337855415311856,-1.59208853459587e-05,-1.59208853459587e-05,0.00222966731628695
