Cases,Deaths,Vaccinated
168010,1610,0
152493,1066,0
140061,1041,0
163791,1438,0
178541,1290,0
163926,1394,0
154114,1525,0
148107,1239,0
125084,965,0
112065,878,0
129242,1077,0
134559,1303,0
123793,1215,0
115981,1306,0
99116,1056,0
87240,745,0
74328,708,0
93274,931,0
98061,938,0
91712,1099,0
85426,1091,0
75832,898,0
70173,700,0
65933,611,0
76393,792,0
83177,942,0
75034,942,0
70564,1058,0
58979,809,0
62187,614,0
48992,754,0
54328,676,0
69573,880,0
63391,725,0
58213,826,0
50815,663,0
49775,512,0
44946,578,0
53914,671,0
59095,799,0
55665,741,0
54804,800,0
41977,637,0
41617,525,0
35651,594,0
47743,540,0
51171,917,0
47485,762,0
46578,697,0
38934,787,0
39178,420,0
35364,494,0
42759,678,0
50219,776,0
46410,750,0
42950,920,0
50113,648,0
41636,572,0
34276,470,0
42385,647,0
48182,833,0
45404,734,0
44923,1081,0
37228,775,0
34757,451,0
32898,725,0
40039,651,0
44601,867,0
39098,838,0
35568,843,0
28618,573,0
24589,400,0
33988,679,0
41303,772,0
51294,921,0
45577,938,0
42792,883,0
38848,853,0
39569,572,0
36632,733,0
41023,812,0
46939,1038,0
47228,962,0
47495,1065,0
40927,908,0
36027,604,0
37081,829,0
41844,974,0
47714,1044,0
47058,995,0
47290,1259,0
41715,953,0
41820,684,0
41920,870,0
51555,929,0
56241,1058,0
52153,1185,0
55547,1345,0
59191,1096,0
44149,830,0
46359,880,0
52085,1021,0
62142,1305,0
55160,1194,0
56253,1266,0
51918,1070,0
45304,902,0
51460,902,0
56418,1127,0
68825,1370,0
67148,1426,0
65131,1159,0
59194,1231,0
53265,955,0
59006,949,0
61083,1150,0
73913,1355,0
74062,1285,0
72665,1188,0
63328,1188,0
59017,895,0
59921,935,0
67799,1002,0
77086,1111,0
70184,1100,0
72310,1153,0
65006,943,0
56543,729,0
59644,859,0
68135,908,0
68572,958,0
62317,980,0
65379,1096,0
56060,932,0
51214,646,0
40419,450,0
49595,527,0
60294,822,0
55610,701,0
59743,796,0
46588,641,0
38603,485,0
37797,438,0
43619,566,0
46554,711,0
47010,721,0
37431,692,0
37921,745,0
28699,507,0
27327,397,0
33339,569,0
33309,744,0
28760,653,0
25603,701,0
24926,645,0
20588,537,0
20620,490,0
26008,695,0
28747,745,0
22688,869,0
22483,880,0
18596,822,0
18038,784,0
17781,584,0
23574,668,0
24426,862,0
20713,869,0
21109,1033,0
20731,914,0
17358,684,0
21206,695,0
23710,879,0
23554,1020,0
24199,1204,0
20369,1278,0
16953,831,0
19149,677,0
21765,807,0
20979,905,0
26029,1830,0
25523,1078,0
24490,1365,0
20691,1194,0
24691,943,0
19225,932,0
25303,1223,0
27120,1554,0
34533,1939,0
17741,1508,0
24260,1536,0
19299,1076,0
21652,1105,0
25969,1486,0
28045,1619,0
30615,2129,0
24303,2331,0
23206,2428,0
21179,1242,0
27841,1428,0
28397,1598,0
30225,1924,0
32425,2220,0
27206,2440,0
23487,2122,0
24219,1510,0
27235,1556,0
33378,1866,0
34130,2105,0
32997,2024,0
31434,2269,0
25455,2663,0
25811,2081,0
27885,2022,0
27600,1883,0
29778,2328,0
31822,2437,0
25379,2726,0
25186,2465,0
24932,1913,0
27798,1869,0
32207,2233,0
31920,2238,0
34988,2232,0
33682,2270,0
30225,2111,0
28584,1689,0
27478,1870,0
32492,1553,0
31838,1396,0
30045,1328,0
28348,1129,0
23296,983,0
15831,630,0
26334,668,0
20635,566,0
20039,478,0
18772,344,0
14160,311,0
11351,217,0
10728,161,0
10868,127,0
9218,111,0
7437,96,0
6174,69,0
4903,67,0
3222,26,0
2349,21,0
2202,18,0
1231,13,0
911,11,0
748,7,0
514,12,0
493,7,0
420,4,0
209,4,0
160,5,0
121,3,0
78,3,0
67,2,0
64,3,0
36,6,0
18,0,0
9,1,0
4,0,0
5,0,0
8,0,0
4,0,0
4,0,0
0,0,0
6,0,0
5,0,0
1,0,0
3,0,0
5,0,0
2,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
3,0,0
3,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
