Date,Cases,Vaccinated,Deaths,Frac_boosted,Daily_boost
2022-03-25,45160,55894,1244,30.69,112793
2022-03-24,24771,43750,937,30.66,91812
2022-03-23,38828,47111,789,30.63,93183
2022-03-22,10038,44487,150,30.6,90307
2022-03-21,9881,45500,200,30.57,91445
2022-03-20,31004,18029,972,30.55,34348
2022-03-19,33159,37278,1066,30.53,66834
2022-03-18,37828,62483,1500,30.51,126219
2022-03-17,24495,48990,1443,30.48,97676
2022-03-16,60969,53214,0,30.45,100004
2022-03-15,9126,53361,195,30.42,97880
2022-03-14,12159,52056,506,30.39,91225
2022-03-13,36942,21099,1437,30.36,30661
2022-03-12,39598,41587,1258,30.35,60334
2022-03-11,46110,74688,1957,30.33,120232
2022-03-10,31172,60273,1735,30.3,99387
2022-03-09,57277,59945,1530,30.27,98172
2022-03-08,8941,59159,367,30.24,101111
2022-03-07,14292,55716,322,30.21,99403
2022-03-06,44216,24957,1569,30.18,37111
2022-03-05,51622,52512,1364,30.17,78993
2022-03-04,52784,89650,1536,30.14,150428
2022-03-03,63819,70052,1971,30.1,120682
2022-03-02,76237,72277,2302,30.06,120395
2022-03-01,18169,74480,360,30.02,137075
2022-02-28,25662,82017,576,29.98,158012
2022-02-27,74142,32210,2291,29.93,55775
2022-02-26,75062,65273,2488,29.92,111003
2022-02-25,73662,106769,2611,29.88,191253
2022-02-24,115022,86776,3252,29.83,161412
2022-02-23,48413,94392,1100,29.78,163296
2022-02-22,31174,100247,588,29.73,163523
2022-02-21,40797,88947,716,29.68,146973
2022-02-20,103802,42608,2309,29.64,68170
2022-02-19,100475,79317,2316,29.62,127125
2022-02-18,105714,144842,2708,29.58,256917
2022-02-17,108080,111617,3370,29.5,197604
2022-02-16,174293,118764,2973,29.44,195217
2022-02-15,47904,117145,727,29.38,186677
2022-02-14,67888,99285,969,29.33,155968
2022-02-13,155309,47107,2893,29.28,62470
2022-02-12,165790,103879,2579,29.26,151512
2022-02-11,196394,176543,3005,29.21,296293
2022-02-10,197921,142127,3804,29.12,241266
2022-02-09,305358,147565,3301,29.05,236575
2022-02-08,96578,147656,714,28.98,230692
2022-02-07,104762,134301,1254,28.91,222966
2022-02-06,281890,62002,3425,28.84,92426
2022-02-05,350050,135142,2715,28.82,194600
2022-02-04,303405,186966,3218,28.76,320004
2022-02-03,296458,142142,4076,28.66,253960
2022-02-02,576521,156858,2779,28.58,274760
2022-02-01,158214,162596,925,28.5,307018
2022-01-31,222172,160838,1516,28.41,313651
2022-01-30,523326,68089,3604,28.31,124477
2022-01-29,572820,113984,2898,28.28,235004
2022-01-28,545225,213788,3409,28.21,515276
2022-01-27,493232,177967,3530,28.05,419550
2022-01-26,1011148,181760,2784,27.92,416500
2022-01-25,314947,177836,960,27.8,427660
2022-01-24,328564,162494,1218,27.67,436193
2022-01-23,776480,64957,3800,27.54,176638
2022-01-22,776490,84466,2901,27.49,365831
2022-01-21,780466,164601,3259,27.38,648416
2022-01-20,856293,179487,2642,27.18,525664
2022-01-19,968465,189588,1453,27.02,549101
2022-01-18,418737,191442,873,26.86,562423
2022-01-17,465957,141931,1380,26.69,473063
2022-01-16,898407,58529,3002,26.54,228440
2022-01-15,892303,88356,2179,26.48,478966
2022-01-14,855880,177308,2480,26.33,924997
2022-01-13,803539,191844,3189,26.05,777921
2022-01-12,1265520,204066,1962,25.82,783998
2022-01-11,486541,204184,699,25.58,779694
2022-01-10,448743,193612,869,25.35,750558
2022-01-09,852951,76478,2466,25.12,285724
2022-01-08,798436,177898,2088,25.04,606928
2022-01-07,702790,250179,1846,24.85,1019560
2022-01-06,732514,216124,2840,24.55,894491
2022-01-05,902391,216178,1672,24.28,876859
2022-01-04,390858,216928,374,24.01,845060
2022-01-03,302957,200389,430,23.76,720434
2022-01-02,471965,91704,1344,23.54,275794
2022-01-01,584647,17847,1334,23.46,66188
2021-12-31,474309,95435,1823,23.44,367145
2021-12-30,389514,217779,2331,23.33,936331
2021-12-29,464495,240686,1786,23.05,1025353
2021-12-28,211284,245892,266,22.74,1038082
2021-12-27,115824,233259,262,22.42,921745
2021-12-26,241450,84740,1368,22.15,270170
2021-12-25,278812,1053,3177,22.06,3854
2021-12-24,237883,57514,1854,22.06,227379
2021-12-23,203318,179886,2259,22,937606
2021-12-22,266159,241764,1467,21.71,1205958
2021-12-21,102213,245337,286,21.35,1291047
2021-12-20,87584,229433,590,20.96,1199788
2021-12-19,156763,82781,2034,20.6,398484
2021-12-18,162668,164715,1115,20.48,685561
2021-12-17,146477,256429,1900,20.27,1282269
2021-12-16,125442,172299,1908,19.89,1162091
2021-12-15,185683,265575,1312,19.54,1112906
2021-12-14,58109,291929,306,19.2,1096919
2021-12-13,63967,283221,490,18.87,1019018
2021-12-12,135573,131625,1971,18.56,360797
2021-12-11,137431,342565,1162,18.46,669294
2021-12-10,129708,405336,1480,18.25,1325147
2021-12-09,125548,344622,1832,17.85,1215077
2021-12-08,184043,358057,1288,17.49,1199933
2021-12-07,55314,347177,281,17.13,1198747
2021-12-06,67352,330716,572,16.77,1149451
2021-12-05,151567,192957,1641,16.42,386310
2021-12-04,143869,462895,1244,16.3,747465
2021-12-03,133075,500685,1727,16.08,1509182
2021-12-02,120690,400529,1622,15.62,1366763
2021-12-01,93479,420067,1663,15.21,1344152
2021-11-30,56537,398448,193,14.81,1167536
2021-11-29,51800,367873,214,14.46,981087
2021-11-28,81747,151052,563,14.16,310546
2021-11-27,72723,203200,465,14.07,489602
2021-11-26,106535,179420,1374,13.92,740907
2021-11-25,101066,5608,1560,13.7,15512
2021-11-24,145378,156148,1177,13.69,860630
2021-11-23,38751,166288,177,13.43,1170245
2021-11-22,46194,173176,374,13.08,1191424
2021-11-21,113822,61250,1662,12.72,391413
2021-11-20,123870,102002,3867,12.6,693571
2021-11-19,105810,196654,1442,12.39,1338094
2021-11-18,96915,172493,1464,11.99,1146743
2021-11-17,133590,173462,1080,11.65,1117705
2021-11-16,33593,168306,217,11.31,1063671
2021-11-15,69276,168766,544,10.99,959060
2021-11-14,122999,61167,1734,10.7,287851
2021-11-13,73647,103631,970,10.61,552926
2021-11-12,93749,199911,1345,10.45,1188142
2021-11-11,82883,153503,1587,10.09,927743
2021-11-10,116391,171760,1161,9.81,1062746
2021-11-09,31524,167027,256,9.49,982876
2021-11-08,35987,174961,476,9.19,853929
2021-11-07,89858,72508,1614,8.94,268195
2021-11-06,88850,120779,1204,8.86,546677
2021-11-05,78766,232017,1188,8.69,1273898
2021-11-04,74593,196884,1450,8.31,1132835
2021-11-03,117847,194180,1196,7.97,1100873
2021-11-02,25347,189384,302,7.63,1067169
2021-11-01,34950,198096,453,7.31,1040886
2021-10-31,88448,70770,1790,7,276794
2021-10-30,103121,119679,1277,6.92,552371
2021-10-29,84199,240638,1765,6.75,1260887
2021-10-28,101787,211267,2052,6.37,1139450
2021-10-27,84460,208660,1030,6.03,1142351
2021-10-26,28057,202868,347,5.68,1097945
2021-10-25,36114,205040,654,5.35,1049212
2021-10-24,80874,80827,1961,5.04,292405
2021-10-23,87571,134131,1523,4.95,534186
2021-10-22,76534,248222,1841,4.79,869282
2021-10-21,80595,200263,1849,4.52,478662
2021-10-20,72322,197421,2330,4.38,462138
2021-10-19,47645,195477,695,4.24,449186
2021-10-18,63002,214216,892,4.11,418187
2021-10-17,92417,85717,2038,3.98,106064
2021-10-16,96871,147440,1576,3.95,216616
2021-10-15,96312,282205,1846,3.88,540288
2021-10-14,89638,232404,1914,3.72,479471
2021-10-13,77961,232631,1024,3.58,474006
2021-10-12,58449,237505,1013,3.43,486034
2021-10-11,70589,223506,1051,3.29,425572
2021-10-10,108501,106532,2253,3.16,121584
2021-10-09,113038,169812,1738,3.12,230228
2021-10-08,118223,317726,2053,3.05,582295
2021-10-07,101799,262959,2055,2.88,541180
2021-10-06,91816,262368,1356,2.71,545245
2021-10-05,66639,259886,942,2.55,535951
2021-10-04,81968,259874,1287,2.39,499753
2021-10-03,120674,132247,2211,2.24,134650
2021-10-02,124042,209595,1962,2.2,259454
2021-10-01,116797,386294,2253,2.12,663122
2021-09-30,115452,324613,2155,1.92,576780
2021-09-29,107319,313943,1957,1.75,562263
2021-09-28,75238,306395,1019,1.58,559172
2021-09-27,96166,224223,1435,1.41,527340
2021-09-26,132731,147103,2465,1.25,148881
2021-09-25,138256,230547,2073,1.2,251388
2021-09-24,132730,415358,2350,1.13,269221
2021-09-23,132981,331115,2345,1.05,108122
2021-09-22,98378,338720,1368,1.01,90793
2021-09-21,94644,348306,1194,0.99,95089
2021-09-20,122574,359952,1589,0.96,92810
2021-09-19,158492,168492,2339,0.93,25302
2021-09-18,167335,277645,2108,0.92,51191
2021-09-17,163128,483934,2499,0.91,95363
2021-09-16,162147,395610,2413,0.88,82073
2021-09-15,118971,393054,1352,0.85,84519
2021-09-14,113838,381595,1140,0.83,79082
2021-09-13,153543,386958,1739,0.81,80458
2021-09-12,172091,176145,2292,0.78,24798
2021-09-11,183714,304648,2246,0.77,51491
2021-09-10,171241,504818,2119,0.76,112815
2021-09-09,114676,402312,1522,0.72,102833
2021-09-08,116004,406495,1092,0.69,100939
2021-09-07,123082,484829,1324,0.66,97127
2021-09-06,141762,87278,1490,0.63,13427
2021-09-05,182112,174294,1973,0.63,29404
2021-09-04,183417,278779,2028,0.62,46989
2021-09-03,197627,492437,2015,0.61,124278
2021-09-02,176801,404402,1807,0.57,119263
2021-09-01,138600,413501,1243,0.53,138435
2021-08-31,115672,430585,1183,0.49,116265
2021-08-30,150022,438446,1460,0.46,105402
2021-08-29,182171,207780,1837,0.42,37541
2021-08-28,186271,344595,1760,0.41,67001
2021-08-27,176904,543992,1658,0.39,131704
2021-08-26,162414,435990,1655,0.35,115438
2021-08-25,120825,425861,1205,0.32,107826
2021-08-24,124481,417945,899,0.29,104661
2021-08-23,141824,408322,1169,0.25,101187
2021-08-22,167459,181391,1556,0.22,33272
2021-08-21,174382,300378,1381,0.21,64627
2021-08-20,168162,481601,1497,0.19,127512
2021-08-19,150448,383527,1193,0.16,119434
2021-08-18,108955,381417,845,0.12,121834
2021-08-17,110712,365943,679,0.08,103744
2021-08-16,139848,356247,904,0.05,84152
2021-08-15,146305,162850,1196,0.03,35264
2021-08-14,151161,244448,973,0.02,38292
2021-08-13,143479,391620,612,0,15706
2021-08-12,135427,316493,961,0,5
2021-08-11,93050,298065,720,0,9
2021-08-10,96790,297713,527,0,10
2021-08-09,120252,289053,648,0,3
2021-08-08,133922,118748,838,0,4
2021-08-07,127854,191531,753,0,7
2021-08-06,126833,314026,741,0,15
2021-08-05,110283,266713,700,0,4
2021-08-04,102409,257630,656,0,1
2021-08-03,61188,255687,370,0,2
2021-08-02,80567,239977,395,0,14
2021-08-01,104519,101935,525,0,29
2021-07-31,99367,182300,495,0,2
2021-07-30,89149,295344,494,0,10
2021-07-29,85805,255075,499,0,3
2021-07-28,71245,261055,411,0,5
2021-07-27,43206,253448,249,0,2
2021-07-26,53795,222905,254,0,3
2021-07-25,69639,63969,414,0,1
2021-07-24,71708,174954,338,0,0
2021-07-23,61313,289098,399,0,0
2021-07-22,51040,261361,320,0,1
2021-07-21,45195,269991,284,0,5
2021-07-20,27993,258994,146,0,3
2021-07-19,32139,253642,183,0,2
2021-07-18,42258,106106,370,0,1
2021-07-17,40555,190114,319,0,0
2021-07-16,38299,304910,342,0,3
2021-07-15,34978,270592,337,0,4
2021-07-14,28892,274457,295,0,4
2021-07-13,16722,272920,119,0,2
2021-07-12,20875,275648,149,0,3
2021-07-11,27579,108709,316,0,2
2021-07-10,183538,208103,262,0,0
2021-07-09,22636,346733,250,0,5
2021-07-08,19962,312882,301,0,4
2021-07-07,9147,321933,103,0,4
2021-07-06,10459,340276,125,0,3
2021-07-05,13189,210028,152,0,2
2021-07-04,16890,27651,304,0,0
2021-07-03,18586,189836,289,0,0
2021-07-02,11639,344540,244,0,3
2021-07-01,15514,339567,282,0,15
2021-06-30,10438,354275,183,0,5
2021-06-29,10676,360390,173,0,2
2021-06-28,13294,308060,242,0,1
2021-06-27,14971,151668,412,0,2
2021-06-26,15572,297213,315,0,3
2021-06-25,13841,456966,326,0,3
2021-06-24,13288,421474,308,0,3
2021-06-23,8568,446040,266,0,3
2021-06-22,9047,472685,223,0,5
2021-06-21,12350,296532,251,0,5
2021-06-20,11961,177076,272,0,2
2021-06-19,13484,371650,279,0,2
2021-06-18,13220,602783,336,0,1
2021-06-17,12616,596072,316,0,1
2021-06-16,8275,636917,199,0,1
2021-06-15,8721,666894,152,0,8
2021-06-14,12350,625728,208,0,5
2021-06-13,13971,298883,403,0,0
2021-06-12,15924,647381,382,0,2
2021-06-11,19640,862394,387,0,2
2021-06-10,14314,821647,313,0,4
2021-06-09,9898,828486,322,0,0
2021-06-08,11084,825301,423,0,3
2021-06-07,14734,748957,394,0,2
2021-06-06,18592,366772,586,0,0
2021-06-05,18151,758974,478,0,2
2021-06-04,16048,971424,492,0,1
2021-06-03,8935,847533,332,0,2
2021-06-02,9408,688202,232,0,2
2021-06-01,12350,794845,254,0,10
2021-05-31,15628,123127,301,0,5
2021-05-30,24780,206227,703,0,1
2021-05-29,21970,423880,545,0,1
2021-05-28,23475,793509,517,0,2
2021-05-27,24571,805620,518,0,1
2021-05-26,14761,845422,555,0,6
2021-05-25,16030,845534,287,0,1
2021-05-24,22224,757446,409,0,1
2021-05-23,27866,348377,649,0,2
2021-05-22,27948,776927,541,0,3
2021-05-21,27491,1215470,583,0,4
2021-05-20,27639,1185097,610,0,5
2021-05-19,19453,1186334,362,0,3
2021-05-18,21375,1171531,437,0,5
2021-05-17,29837,1017306,442,0,5
2021-05-16,35116,488926,701,0,1
2021-05-15,40435,998323,583,0,4
2021-05-14,35784,1445764,679,0,1
2021-05-13,33073,1416613,598,0,3
2021-05-12,24383,1447029,395,0,2
2021-05-11,27538,1458998,408,0,3
2021-05-10,37021,1180033,609,0,3
2021-05-09,44641,439959,806,0,2
2021-05-08,42692,1095283,671,0,6
2021-05-07,44541,1796121,714,0,1
2021-05-06,42552,1826557,674,0,1
2021-05-05,32953,1816128,470,0,5
2021-05-04,36593,1762213,500,0,3
2021-05-03,48352,1404149,616,0,4
2021-05-02,55311,587591,806,0,3
2021-05-01,55643,1177358,753,0,10
2021-04-30,54396,1853325,832,0,5
2021-04-29,50313,1986197,546,0,4
2021-04-28,30199,1971122,467,0,7
2021-04-27,40847,1794582,435,0,7
2021-04-26,51698,1438711,654,0,5
2021-04-25,62419,498401,835,0,7
2021-04-24,61479,1196228,784,0,1
2021-04-23,63049,1909888,767,0,4
2021-04-22,57318,2057894,746,0,4
2021-04-21,35281,2058518,463,0,4
2021-04-20,49337,1838704,499,0,3
2021-04-19,77212,1468173,627,0,1
2021-04-18,71074,584550,807,0,2
2021-04-17,71498,1185842,794,0,0
2021-04-16,70654,1924785,782,0,5
2021-04-15,72206,1953888,751,0,0
2021-04-14,60435,1931468,533,0,3
