time_vax,Prop_super,Prop_vax_pfizer,Prop_vax_moderna
0,0,0,0.001024774306
0,0,0,0.0009519101988
0,0,0,0.0006210862124
0,0,0,0.001402777213
0,0,0,0.0008403560508
0,0,0,0.0008510554104
0,0,0,0.0006639596261
0,0,0.001024774306,0.0009382809814
0,0,0.0009519101988,0.0007908822538
0,0,0.0006210862124,0.0008666651631
0,0,0.001402777213,0.001031691799
0,0,0.0008403560508,0.0008664474535
0,0,0.0008510554104,0.0007508299863
0,0,0.0006639596261,0.0008015271019
0,0,0.0009382809814,0.001356224813
1,0.003639786957,0.0007908822538,0.0006685602391
2,0.003411335551,0.0008666651631,0.000982293076
3,0.002514330601,0.001031691799,0.001231339393
4,0.004544929359,0.0008664474535,0.001166400851
5,0.002800030015,0.0007508299863,0.0006304338781
6,0.002810724771,0.0008015271019,0.001195240209
7,0.002368041946,0.001356224813,0.0009134087886
8,0.003340767436,0.0006685602391,0.001119262404
9,0.002940333707,0.000982293076,0.001138812264
10,0.003109348963,0.001231339393,0.001528816047
11,0.003460785545,0.001166400851,0.001615643809
12,0.002779239047,0.0006304338781,0.001307359304
13,0.002462547894,0.001195240209,0.001366580615
14,0.002646245311,0.0009134087886,0.0010459334
15,0.004241627951,0.001119262404,0.0009988694181
16,0.002564941738,0.001138812264,0.001268699757
17,0.003261870563,0.001528816047,0.001508707477
18,0.003802199889,0.001615643809,0.001652520112
19,0.00340894479,0.001307359304,0.001171309178
20,0.002107681801,0.001366580615,0.001601809018
21,0.003497349568,0.0010459334,0.002514106971
22,0.003071760467,0.0009988694181,0.001583426735
23,0.003499068897,0.001268699757,0.002099071432
24,0.003484533702,0.001508707477,0.001400582285
25,0.004305912464,0.001652520112,0.001802813482
26,0.004149846095,0.001171309178,0.001097362437
27,0.003451267119,0.001601809018,0.001193362481
28,0.003748397472,0.002514106971,0.001619586484
29,0.003313633782,0.001583426735,0.001775056775
30,0.003250732838,0.002099071432,0.001879791219
31,0.003762402046,0.001400582285,0.001586481687
32,0.00416149855,0.001802813482,0.001630052896
33,0.00403702393,0.001097362437,0.001126750274
34,0.003021942778,0.001193362481,0.001089535161
35,0.004054917595,0.001619586484,0.001707513264
36,0.005927340025,0.001775056775,0.001695415475
37,0.004293431354,0.001879791219,0.001705421096
38,0.005078948569,0.001586481687,0.001723121219
39,0.003268581983,0.001630052896,0.001230904518
40,0.003863777041,0.001126750274,0.0008934225714
41,0.002711122118,0.001089535161,0.001414488662
42,0.003078399347,0.001707513264,0.001181645292
43,0.004043371381,0.001695415475,0.001721717349
44,0.004236823479,0.001705421096,0.001527052517
45,0.004411783788,0.001723121219,0.00111354757
46,0.003808548728,0.001230904518,0.001094317973
47,0.003451770506,0.0008934225714,0.0009371963373
48,0.002539167231,0.001414488662,0.0008041099762
49,0.002703992065,0.001181645292,0.001255794457
50,0.003853619587,0.001721717349,0.001314056301
51,0.003818122401,0.001527052517,0.001303894896
52,0.003810047866,0.00111354757,0.00141490151
53,0.003683129761,0.001094317973,0.001190980923
54,0.002575923958,0.0009371963373,0.0007629894579
